Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
838,94;11,26;1060,13;622,62;52,52;55,87;11,17;48,93;2095,90
848,16;11,26;1060,00;623,38;51,87;56,12;11,22;48,98;2050,26
850,44;11,26;1060,00;615,63;51,77;56,37;11,27;49,08;2040,99
844,73;10,93;1060,00;612,75;52,67;56,60;11,32;49,21;2077,75
843,34;11,13;1059,74;629,87;52,75;56,88;11,38;49,38;2066,98
848,08;11,27;1060,13;620,13;51,52;57,07;11,41;49,59;2075,58
848,48;11,27;1060,13;609,25;53,88;57,30;11,46;49,83;2130,06
848,08;11,22;1060,40;623,75;54,18;57,52;11,50;50,08;2174,01
844,89;11,23;1059,74;617,25;52,91;57,72;11,54;50,36;2101,74
843,10;11,35;1059,60;623,38;53,45;57,94;11,59;50,64;2109,94
